Frequency,Sender,Receiver
0.1953125,3.89,2.99
0.390625,3.71,3.5
0.5859375,4.3,4.09
0.78125,4.53,4.12
0.9765625,6.69,6.69
1.171875,9.83,9.56
1.3671875,11.82,10.82
1.5625,17.06,16.89
1.7578125,24.38,22.88
1.953125,31.46,30.88
2.1484375,47.63,44.5
2.34375,100.78,94.57
2.5390625,334.25,313.09
2.734375,458.46,427.05
2.9296875,232,214.7
3.125,72.17,67.62
3.3203125,49.93,45.1
3.515625,35.45,33.77
3.7109375,29.3,27.08
3.90625,23.13,24.32
4.1015625,18.54,18.4
4.296875,17.06,17.45
4.4921875,15.69,14.8
4.6875,11.77,12.11
4.8828125,5.5,6.99
5.078125,12.72,12
5.2734375,21.07,20.83
5.46875,13.82,14.49
5.6640625,11.57,12.04
5.859375,9.39,9.79
6.0546875,8.2,9.49
6.25,7.71,7.95
6.4453125,5.44,7.37
6.640625,5.82,6.93
6.8359375,5.9,6.5
7.03125,4.73,5.09
7.2265625,4.09,4.91
7.421875,4.31,4.45
7.6171875,5.81,7.12
7.8125,5.09,5.24
8.0078125,3.55,4.93
8.203125,4.89,5.12
8.3984375,3.84,3.98
8.59375,3.03,3.51
8.7890625,2.5,3.38
8.984375,2.03,4.37
9.1796875,2.59,2.44
9.375,2.31,3.41
9.5703125,1.39,3.04
9.765625,1.68,2.9
9.9609375,1.68,3.18
10.15625,2.28,3.77
10.3515625,1.8,1.07
10.546875,1.52,2.16
10.7421875,1,1.9
10.9375,1.65,1.91
11.1328125,1.5,2.64
11.328125,0.71,1.37
11.5234375,0.46,1.89
11.71875,1.14,1.83
11.9140625,0.93,2.22
12.109375,0.41,1.44
12.3046875,0.59,0.96
12.5,1.24,2.4
12.6953125,0.76,2.42
12.890625,1.02,0.97
13.0859375,0.7,1.04
13.28125,0.26,1.37
13.4765625,0.8,0.19
13.671875,0.69,1.05
13.8671875,0.6,0.75
14.0625,0.66,1.09
14.2578125,0.74,0.61
14.453125,0.77,0.78
14.6484375,0.61,1.32
14.84375,0.69,0.48
15.0390625,1.04,0.7
15.234375,1.01,0.26
15.4296875,1.1,1.09
15.625,0.25,1
15.8203125,0.31,0.9
16.015625,0.21,0.16
16.2109375,0.51,1.11
16.40625,0.65,0.55
16.6015625,0.62,1.25
16.796875,0.82,1.71
16.9921875,1.09,0.28
17.1875,0.9,1.08
17.3828125,0.99,0.83
17.578125,1.28,0.25
17.7734375,1.47,0.74
17.96875,1.27,0.32
18.1640625,0.96,0.33
18.359375,0.9,0.57
18.5546875,0.97,0.89
18.75,1.96,1.01
18.9453125,3.86,3.02
19.140625,9.03,6.4
19.3359375,10.9,7.83
19.53125,5.67,4.98
19.7265625,2.32,2.68
19.921875,1.97,1.43
20.1171875,0.87,3
20.3125,2.08,3.06
20.5078125,2.02,1.28
20.703125,0.55,0.99
20.8984375,0.73,1.46
21.09375,0.57,1.19
21.2890625,0.6,2.3
21.484375,0.47,2.47
21.6796875,1.19,2.38
21.875,2.04,1.56
22.0703125,0.48,2.48
22.265625,1.87,3.91
22.4609375,1.32,2.47
22.65625,2,5.03
22.8515625,4.54,6.28
23.046875,2.82,3.41
23.2421875,1.84,3.23
23.4375,2.99,3.28
23.6328125,1.72,1.94
23.828125,2.54,2.98
24.0234375,2.76,3.05
24.21875,1.21,2.34
24.4140625,2.11,1.8
24.609375,1.56,1.27
24.8046875,2.33,1.57
25,2.2,2.35
0.1953125,1.05,1.37
0.390625,2.2,2.35
0.5859375,2.33,1.57
0.78125,1.56,1.27
0.9765625,2.11,1.8
1.171875,1.21,2.34
1.3671875,2.76,3.05
1.5625,2.54,2.98
1.7578125,1.72,1.94
1.953125,2.99,3.28
2.1484375,1.84,3.23
2.34375,2.82,3.41
2.5390625,4.54,6.28
2.734375,2,5.03
2.9296875,1.32,2.47
3.125,1.87,3.91
3.3203125,0.48,2.48
3.515625,2.04,1.56
3.7109375,1.19,2.38
3.90625,0.47,2.47
4.1015625,0.6,2.3
4.296875,0.57,1.19
4.4921875,0.73,1.46
4.6875,0.55,0.99
4.8828125,2.02,1.28
5.078125,2.08,3.06
5.2734375,0.87,3
5.46875,1.97,1.43
5.6640625,2.32,2.68
5.859375,5.67,4.98
6.0546875,10.9,7.83
6.25,9.03,6.4
6.4453125,3.86,3.02
6.640625,1.96,1.01
6.8359375,0.97,0.89
7.03125,0.9,0.57
7.2265625,0.96,0.33
7.421875,1.27,0.32
7.6171875,1.47,0.74
7.8125,1.28,0.25
8.0078125,0.99,0.83
8.203125,0.9,1.08
8.3984375,1.09,0.28
8.59375,0.82,1.71
8.7890625,0.62,1.25
8.984375,0.65,0.55
9.1796875,0.51,1.11
9.375,0.21,0.16
9.5703125,0.31,0.9
9.765625,0.25,1
9.9609375,1.1,1.09
10.15625,1.01,0.26
10.3515625,1.04,0.7
10.546875,0.69,0.48
10.7421875,0.61,1.32
10.9375,0.77,0.78
11.1328125,0.74,0.61
11.328125,0.66,1.09
11.5234375,0.6,0.75
11.71875,0.69,1.05
11.9140625,0.8,0.19
12.109375,0.26,1.37
12.3046875,0.7,1.04
12.5,1.02,0.97
12.6953125,0.76,2.42
12.890625,1.24,2.4
13.0859375,0.59,0.96
13.28125,0.41,1.44
13.4765625,0.93,2.22
13.671875,1.14,1.83
13.8671875,0.46,1.89
14.0625,0.71,1.37
14.2578125,1.5,2.64
14.453125,1.65,1.91
14.6484375,1,1.9
14.84375,1.52,2.16
15.0390625,1.8,1.07
15.234375,2.28,3.77
15.4296875,1.68,3.18
15.625,1.68,2.9
15.8203125,1.39,3.04
16.015625,2.31,3.41
16.2109375,2.59,2.44
16.40625,2.03,4.37
16.6015625,2.5,3.38
16.796875,3.03,3.51
16.9921875,3.84,3.98
17.1875,4.89,5.12
17.3828125,3.55,4.93
17.578125,5.09,5.24
17.7734375,5.81,7.12
17.96875,4.31,4.45
18.1640625,4.09,4.91
18.359375,4.73,5.09
18.5546875,5.9,6.5
18.75,5.82,6.93
18.9453125,5.44,7.37
19.140625,7.71,7.95
19.3359375,8.2,9.49
19.53125,9.39,9.79
19.7265625,11.57,12.04
19.921875,13.82,14.49
20.1171875,21.07,20.83
20.3125,12.72,12
20.5078125,5.5,6.99
20.703125,11.77,12.11
20.8984375,15.69,14.8
21.09375,17.06,17.45
21.2890625,18.54,18.4
21.484375,23.13,24.32
21.6796875,29.3,27.08
21.875,35.45,33.77
22.0703125,49.93,45.1
22.265625,72.17,67.62
22.4609375,232,214.7
22.65625,458.46,427.05
22.8515625,334.25,313.09
23.046875,100.78,94.57
23.2421875,47.63,44.5
23.4375,31.46,30.88
23.6328125,24.38,22.88
23.828125,17.06,16.89
24.0234375,11.82,10.82
24.21875,9.83,9.56
24.4140625,6.69,6.69
24.609375,4.53,4.12
24.8046875,4.3,4.09
25,3.71,3.5